run,fps,total_frames,width,height
113,4.4.3_kinect,25.0,18807.0,960,540
114,4.4.4_kinect,25.0,10310.0,960,540
115,4.4.5_kinect,25.0,14561.0,960,540
116,4.4.6_kinect,25.0,16269.0,960,540
117,4.4.7_kinect,25.0,16419.0,960,540
118,4.4.8_kinect,25.0,15824.0,960,540
119,4.4.9_kinect,25.0006151429466,14744.0,960,540
120,6.1.10_kinect,25.0,24444.0,960,540
121,6.1.1_kinect,25.0,20998.0,960,540
122,6.1.2_kinect,25.0,19059.0,960,540
123,6.1.3_kinect,25.0,19141.0,960,540
124,6.1.4_kinect,25.0,21295.0,960,540
125,6.1.5_kinect,25.0,10212.0,960,540
126,6.1.6_kinect,25.0,19373.0,960,540
127,6.1.7_kinect,25.0,16529.0,960,540
128,6.1.8_kinect,25.0,28905.0,960,540
129,6.1.9_kinect,25.0,16660.0,960,540
130,6.2.10_kinect,25.0,13539.0,960,540
131,6.2.1_kinect_trim - Copy.mp4,29.97002997002997,14412.0,854,480
132,6.2.1_kinect,29.97002997002997,14412.0,960,540
133,6.2.2_kinect,25.0,12727.0,960,540
134,6.2.3_kinect,25.0,11988.0,960,540
135,6.2.4_kinect,25.0,13662.0,960,540
136,6.2.5_kinect,29.97002997002997,12282.0,960,540
137,6.2.6_kinect,25.000858964099304,9993.0,960,540
138,6.2.7_kinect,29.97002997002997,15248.0,960,540
139,6.2.8_kinect,25.000811041773797,10455.0,960,540
140,6.2.9_kinect,25.0,12630.0,960,540
141,6.3.10_kinect,25.0,19553.0,960,540
142,6.3.1_kinect,25.0,11005.0,960,540
143,6.3.2_kinect,25.0,13663.0,960,540
144,6.3.3_kinect,25.0,18356.0,960,540
145,6.3.4_kinect,25.0,16239.0,960,540
146,6.3.5_kinect,25.0,12891.0,960,540
147,6.3.6_kinect,25.0,19355.0,960,540
148,6.3.7_kinect,25.0,18820.0,960,540
149,6.3.8_kinect,25.0,15485.0,960,540
150,6.3.9_kinect,25.0,16986.0,960,540
